Model,Experiment,Dataset,Metric,Overall
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,RMSE,6.281998395413209
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,MAE,2.2045855871324243
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,R2,0.8288268627175629
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,Adjusted R2,0.8183717209128009
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,RMSE std,0.3542228709303751
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,MAE std,0.05956278384949458
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,R2 std,0.043792711542450104
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,Adjusted R2 std,0.04682757862989682
huber_rmse,genus_exp-huber_rmse,Cross-Validation,RMSE,6.289147533751331
huber_rmse,genus_exp-huber_rmse,Cross-Validation,MAE,2.204469114457523
huber_rmse,genus_exp-huber_rmse,Cross-Validation,R2,0.8287297493027073
huber_rmse,genus_exp-huber_rmse,Cross-Validation,Adjusted R2,0.8182730548494306
huber_rmse,genus_exp-huber_rmse,Cross-Validation,RMSE std,0.35689088638932104
huber_rmse,genus_exp-huber_rmse,Cross-Validation,MAE std,0.060091319122931336
huber_rmse,genus_exp-huber_rmse,Cross-Validation,R2 std,0.04271594638198879
huber_rmse,genus_exp-huber_rmse,Cross-Validation,Adjusted R2 std,0.045676308359993416
knn_rmse,genus_exp-knn_rmse,Cross-Validation,RMSE,5.84577083513048
knn_rmse,genus_exp-knn_rmse,Cross-Validation,MAE,2.0395556236276056
knn_rmse,genus_exp-knn_rmse,Cross-Validation,R2,0.8538265731928514
knn_rmse,genus_exp-knn_rmse,Cross-Validation,Adjusted R2,0.8450702650870013
knn_rmse,genus_exp-knn_rmse,Cross-Validation,RMSE std,0.32457470275463923
knn_rmse,genus_exp-knn_rmse,Cross-Validation,MAE std,0.05406487297166567
knn_rmse,genus_exp-knn_rmse,Cross-Validation,R2 std,0.03739718019962605
knn_rmse,genus_exp-knn_rmse,Cross-Validation,Adjusted R2 std,0.03988689535669161
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,RMSE,6.281908759540239
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,MAE,2.2045626970205436
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,R2,0.8287941441892552
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,Adjusted R2,0.818335871517491
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,RMSE std,0.3548570426021474
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,MAE std,0.05994147606128773
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,R2 std,0.043968911265158936
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,Adjusted R2 std,0.047017200609408824
lars_rmse,genus_exp-lars_rmse,Cross-Validation,RMSE,8.230816186727475
lars_rmse,genus_exp-lars_rmse,Cross-Validation,MAE,2.4663680179698786
lars_rmse,genus_exp-lars_rmse,Cross-Validation,R2,nan
lars_rmse,genus_exp-lars_rmse,Cross-Validation,Adjusted R2,nan
lars_rmse,genus_exp-lars_rmse,Cross-Validation,RMSE std,1.9028414412280772
lars_rmse,genus_exp-lars_rmse,Cross-Validation,MAE std,0.25332862307222875
lars_rmse,genus_exp-lars_rmse,Cross-Validation,R2 std,nan
lars_rmse,genus_exp-lars_rmse,Cross-Validation,Adjusted R2 std,nan
pls_rmse,genus_exp-pls_rmse,Cross-Validation,RMSE,6.2815343411739075
pls_rmse,genus_exp-pls_rmse,Cross-Validation,MAE,2.2044961762207635
pls_rmse,genus_exp-pls_rmse,Cross-Validation,R2,0.8288148985072901
pls_rmse,genus_exp-pls_rmse,Cross-Validation,Adjusted R2,0.8183580787886239
pls_rmse,genus_exp-pls_rmse,Cross-Validation,RMSE std,0.35476775642994485
pls_rmse,genus_exp-pls_rmse,Cross-Validation,MAE std,0.05994399210429342
pls_rmse,genus_exp-pls_rmse,Cross-Validation,R2 std,0.04396322182716976
pls_rmse,genus_exp-pls_rmse,Cross-Validation,Adjusted R2 std,0.04701084677694019
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Cross-Validation,RMSE,5.344895283346937
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Cross-Validation,MAE,1.9994437005349415
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Cross-Validation,R2,0.8786726637913784
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Cross-Validation,Adjusted R2,0.8715364595275903
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Cross-Validation,RMSE std,0.1162386964351305
