2025-03-02 21:26:35,010 - INFO - KNN training script started
A new study created in memory with name: no-name-3f5a3f5c-857c-4270-b871-4d5af5627a6a
2025-03-02 21:26:35,134 - INFO - Starting Optuna hyperparameter optimization
Trial 0 finished with value: 4.5623088290238325 and parameters: {'n_neighbors': 30, 'weights': 'uniform', 'p': 1}. Best is trial 0 with value: 4.5623088290238325.
Trial 1 finished with value: 4.106689832231494 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 2 finished with value: 4.3471361930473105 and parameters: {'n_neighbors': 24, 'weights': 'uniform', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 3 finished with value: 4.478912423464927 and parameters: {'n_neighbors': 31, 'weights': 'uniform', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 4 finished with value: 4.259098630553623 and parameters: {'n_neighbors': 23, 'weights': 'distance', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 5 finished with value: 4.171909319438371 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'p': 1}. Best is trial 1 with value: 4.106689832231494.
Trial 6 finished with value: 4.162656019140736 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 7 finished with value: 4.285616063518408 and parameters: {'n_neighbors': 20, 'weights': 'uniform', 'p': 2}. Best is trial 1 with value: 4.106689832231494.
Trial 8 finished with value: 4.171936197413668 and parameters: {'n_neighbors': 12, 'weights': 'distance', 'p': 1}. Best is trial 1 with value: 4.106689832231494.
Trial 9 finished with value: 4.74534291681712 and parameters: {'n_neighbors': 40, 'weights': 'uniform', 'p': 1}. Best is trial 1 with value: 4.106689832231494.
Trial 10 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 10 with value: 4.05492461925315.
Trial 11 finished with value: 4.4026569725038165 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'p': 2}. Best is trial 10 with value: 4.05492461925315.
Trial 12 finished with value: 4.4026569725038165 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'p': 2}. Best is trial 10 with value: 4.05492461925315.
Trial 13 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 14 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 15 finished with value: 4.6287647655369994 and parameters: {'n_neighbors': 47, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 16 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 17 finished with value: 4.07111952928518 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 18 finished with value: 4.209540604742211 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
